Time	Time_C	Temperature
31.00	0.00	37.30
33.50	2.50	36.60
34.10	3.10	36.60
34.40	3.40	36.50
35.00	4.00	36.50
35.30	4.30	36.40
36.00	5.00	36.30
36.30	5.30	36.20
37.00	6.00	36.10
37.30	6.30	36.00
37.50	6.50	35.80
38.30	7.30	35.70
38.50	7.50	35.70
39.20	8.20	35.60
39.40	8.40	35.50
40.00	9.00	35.50
40.30	9.30	35.40
40.50	9.50	35.30
41.10	10.10	35.20
41.30	10.30	35.20
41.50	10.50	35.20
42.10	11.10	35.10
42.30	11.30	35.10
42.50	11.50	35.00
43.10	12.10	35.00
43.30	12.30	35.00
43.50	12.50	34.90
44.10	13.10	34.90
44.30	13.30	34.80
44.50	13.50	34.80
45.10	14.10	34.80
45.30	14.30	34.70
45.50	14.50	34.70
46.10	15.10	34.70
46.30	15.30	34.60
46.50	15.50	34.60
47.10	16.10	34.60
47.30	16.30	34.50
48.00	17.00	34.50
48.20	17.20	34.40
48.40	17.40	34.40
49.00	18.00	34.30
49.20	18.20	34.30
49.40	18.40	34.30
50.00	19.00	34.20
50.20	19.20	34.20
50.40	19.40	34.10
51.00	20.00	34.10
51.30	20.30	34.00
51.50	20.50	34.00
52.10	21.10	34.00
52.30	21.30	34.00
53.10	22.10	33.90
53.30	22.30	33.90
53.50	22.50	34.00
53.50	22.50	33.90
54.10	23.10	33.80
54.30	23.30	33.80
54.50	23.50	33.80
55.10	24.10	33.70
55.30	24.30	33.60
55.50	24.50	33.50
56.10	25.10	33.50
56.30	25.30	33.50
56.50	25.50	33.40
57.10	26.10	33.40
57.30	26.30	33.40
57.50	26.50	33.40
58.10	27.10	33.40
58.30	27.30	33.30
58.50	27.50	33.30
59.00	28.00	33.30
59.20	28.20	33.30
59.40	28.40	33.30
60.00	29.00	33.20
60.20	29.20	33.20
60.40	29.40	33.20
61.10	30.10	33.20
61.30	30.30	33.20
61.50	30.50	33.10
62.10	31.10	33.10
62.30	31.30	33.10
62.40	31.40	33.10
63.00	32.00	33.00
