Time	Time_C	Temperature
25:51.0	0	24.8
25:53.0	0.033333333	24.8
25:55.0	0.066666667	25
25:57.0	0.1	36.6
25:59.0	0.133333333	36.7
26:01.0	0.166666667	36.7
26:03.0	0.2	36.7
26:05.0	0.233333333	36.7
26:07.0	0.266666667	36.7
26:09.0	0.3	36.7
26:11.0	0.333333333	36.7
26:13.0	0.366666667	36.7
26:15.0	0.4	36.7
26:17.0	0.433333333	36.7
26:19.0	0.466666667	36.7
26:21.0	0.5	36.7
26:23.0	0.533333333	36.7
26:25.0	0.566666667	36.7
26:27.0	0.6	36.7
26:29.0	0.633333333	36.7
26:31.0	0.666666667	36.7
26:33.0	0.7	36.7
26:35.0	0.733333333	36.6
26:37.0	0.766666667	36.6
26:39.0	0.8	36.6
26:41.0	0.833333333	36.6
26:43.0	0.866666667	36.6
26:45.0	0.9	36.6
26:47.0	0.933333333	36.6
26:49.0	0.966666667	36.6
26:51.0	1	36.6
26:53.0	1.033333333	36.6
26:55.0	1.066666667	36.6
26:57.0	1.1	36.6
26:59.0	1.133333333	36.6
27:01.0	1.166666667	36.6
27:03.0	1.2	36.7
27:05.0	1.233333333	36.7
27:07.0	1.266666667	36.6
27:09.0	1.3	36.4
27:11.0	1.333333333	36.3
27:13.0	1.366666667	36.2
27:15.0	1.4	36.2
27:17.0	1.433333333	36.2
27:19.0	1.466666667	36.1
27:21.0	1.5	36
27:23.0	1.533333333	36
27:25.0	1.566666667	36
27:27.0	1.6	35.9
27:29.0	1.633333333	35.9
27:31.0	1.666666667	36.2
27:33.0	1.7	36.3
27:35.0	1.733333333	36.4
27:37.0	1.766666667	36.4
27:39.0	1.8	36.4
27:41.0	1.833333333	36.4
27:43.0	1.866666667	36.3
27:45.0	1.9	36.3
27:47.0	1.933333333	36.5
27:49.0	1.966666667	36.5
27:51.0	2	36.5
27:53.0	2.033333333	36.5
27:55.0	2.066666667	36.5
27:57.0	2.1	36.6
27:59.0	2.133333333	36.6
28:01.0	2.166666667	36.6
28:03.0	2.2	36.6
28:05.0	2.233333333	36.6
28:07.0	2.266666667	36.5
28:09.0	2.3	36.6
28:11.0	2.333333333	36.5
28:13.0	2.366666667	36.6
28:15.0	2.4	36.6
28:17.0	2.433333333	36.6
28:19.0	2.466666667	36.6
28:21.0	2.5	36.6
28:23.0	2.533333333	36.6
28:25.0	2.566666667	36.6
28:27.0	2.6	36.6
28:29.0	2.633333333	36.6
28:31.0	2.666666667	36.6
28:33.0	2.7	36.6
28:35.0	2.733333333	36.6
28:37.0	2.766666667	36.6
28:39.0	2.8	36.6
28:41.0	2.833333333	36.6
28:43.0	2.866666667	36.6
28:45.0	2.9	36.6
28:47.0	2.933333333	36.6
28:49.0	2.966666667	36.5
28:51.0	3	36.6
28:53.0	3.033333333	36.5
28:55.0	3.066666667	36.5
28:57.0	3.1	36.5
28:59.0	3.133333333	36.5
29:01.0	3.166666667	36.5
29:03.0	3.2	36.5
29:05.0	3.233333333	36.5
29:07.0	3.266666667	36.5
29:09.0	3.3	36.5
29:11.0	3.333333333	36.5
29:13.0	3.366666667	36.5
29:15.0	3.4	36.5
29:17.0	3.433333333	36.5
29:19.0	3.466666667	36.5
29:21.0	3.5	36.5
29:23.0	3.533333333	36.5
29:25.0	3.566666667	36.5
29:27.0	3.6	36.5
29:29.0	3.633333333	36.5
29:31.0	3.666666667	36.5
29:33.0	3.7	36.5
29:35.0	3.733333333	36.4
29:37.0	3.766666667	36.4
29:39.0	3.8	36.4
29:41.0	3.833333333	36.4
29:43.0	3.866666667	36.4
29:45.0	3.9	36.4
29:47.0	3.933333333	36.4
29:49.0	3.966666667	36.4
29:51.0	4	36.3
29:53.0	4.033333333	36.3
29:55.0	4.066666667	36.4
29:57.0	4.1	36.4
29:59.0	4.133333333	36.4
