Environmental	Estimated
24.1	36.83478216
27.6	37.24002536
24.9	37.07576484
24.8	36.83302034
23.5	37.10025284
24.3	37.02749091
25.5	36.25156717
29.9	37.38725227
24.4	37.44700868
37	37.19264954
22.6	37.19209113
22.6	36.88093542
23.3	36.88861355
28	35.44987374
24.7	37.03043348
24.6	37.22846084
25.8	37.59390821
25.8	37.16527801
25.8	37.05113319
26.4	36.71053724
22.8	37.34197062
23.3	37.51385385
25	37.57480759
22.4	36.96436846
23.9	36.404
25.7	36.72162627
23.9	37.24189914
23.9	36.70102466
24.9	36.81898706
25.7	37.81013738
