Measured	Estimated
36.8	36.83478216
37.3	37.24002536
36.9	37.07576484
36.8	36.83302034
36.9	37.10025284
37	37.02749091
37.1	36.25156717
37.5	37.38725227
36.9	37.44700868
37	37.19264954
36.9	37.19209113
36.7	36.88093542
37	36.88861355
37.1	35.44987374
37	37.03043348
37.4	37.22846084
37.5	37.59390821
36.9	37.16527801
36.7	37.05113319
36.9	36.71053724
37.2	37.34197062
37.6	37.51385385
37.5	37.57480759
36.9	36.96436846
37	36.72162627
37.3	37.24189914
36.7	36.70102466
37.1	36.81898706
37.7	37.81013738
