Measured	Estimated	Difference	Abs_Difference	Rank	Pos to Sum	Neg to Sum
36.7	36.70102466	0.001024662	0.001024662	1	0.001024662	
37	37.02749091	0.027490909	0.027490909	2	0.054981819	
37	37.03043348	0.03043348	0.03043348	3	0.091300441	
36.8	36.83302034	0.033020336	0.033020336	4	0.132081344	
36.8	36.83478216	0.034782162	0.034782162	5	0.173910809	
37.3	37.24189914	-0.058100857	0.058100857	6		-0.348605141
37.3	37.24002536	-0.059974642	0.059974642	7		-0.419822497
36.9	36.96436846	0.064368464	0.064368464	8	0.514947713	
37.5	37.57480759	0.074807594	0.074807594	9	0.673268344	
37.6	37.51385385	-0.086146154	0.086146154	10		-0.861461543
37.5	37.59390821	0.093908208	0.093908208	11	1.032990286	
37.7	37.81013738	0.110137376	0.110137376	12	1.321648517	
37	36.88861355	-0.111386446	0.111386446	13		-1.448023795
37.5	37.38725227	-0.11274773	0.11274773	14		-1.578468219
37.2	37.34197062	0.141970622	0.141970622	15	2.129559324	
37.4	37.22846084	-0.171539164	0.171539164	16		-2.744626624
36.9	37.07576484	0.175764841	0.175764841	17	2.988002296	
36.7	36.88093542	0.180935416	0.180935416	18	3.256837487	
36.9	36.71053724	-0.189462756	0.189462756	19		-3.599792364
37	37.19264954	0.192649538	0.192649538	20	3.852990754	
36.9	37.10025284	0.200252839	0.200252839	21	4.205309629	
36.9	37.16527801	0.265278012	0.265278012	22	5.83611627	
37	36.72162627	-0.278373731	0.278373731	23		-6.402595815
37.1	36.81898706	-0.28101294	0.28101294	24		-6.744310569
36.9	37.19209113	0.292091134	0.292091134	25	7.302278339	
36.7	37.05113319	0.351133188	0.351133188	26	9.129462888	
36.9	37.44700868	0.547008684	0.547008684	27	14.76923447	
37.1	36.25156717	-0.848432826	0.848432826	28		-23.75611914
37.1	35.44987374	-1.650126264	1.650126264	29		-47.85366166
					57.46594539	-95.75748737
					246	189
					57
