time	temperature
9.08	37.50
9.25	37.20
9.55	37.20
9.73	37.30
9.83	37.30
9.95	37.30
10.08	37.40
10.40	37.40
10.47	37.40
10.73	37.40
10.85	37.40
10.98	37.40
11.17	37.40
11.33	37.40
11.45	37.40
11.55	37.40
11.72	37.40
11.82	37.40
11.93	37.40
12.02	37.30
12.12	37.30
12.22	37.30
12.33	37.30
12.45	37.30
12.58	37.30
12.70	37.20
12.88	37.20
12.98	37.20
13.07	37.20
13.17	37.20
13.27	37.20
13.38	37.10
13.57	37.10
13.68	37.10
13.80	37.10
13.88	37.00
14.00	37.00
14.08	37.00
14.18	37.00
14.30	36.90
14.42	36.90
14.48	36.90
14.58	36.90
14.67	36.90
14.73	36.90
14.90	36.90
15.00	36.90
